"drugName","drugGroup","doseDog1 (mg/kg)","indicationDog1","doseDog2 (mg/kg)","indicationDog2","doseDog3 (mg/kg)","indicationDog3","doseDog4 (mg/kg)","indicationDog4","doseDog5 (mg/kg)","indicationDog5","doseCat1 (mg/kg)","indicationCat1","doseCat2 (mg/kg)","indicationCat2","doseCat3 (mg/kg)","indicationCat3","doseCat4 (mg/kg)","indicationCat4","doseCat5 (mg/kg)","indicationCat5","contraindication"
"Enrofloxacin","ยาปฏิชีวนะ","5-20 mg/kg","การติดเชื้อแบคทีเรียทั่วไป (ให้วันละครั้ง)","10-20 mg/kg","การติดเชื้อรุนแรง Pseudomonas (ให้วันละครั้ง)","","","","","","","5 mg/kg","การติดเชื้อแบคทีเรียทั่วไป (ให้วันละครั้ง)","","","","","","","","","ห้ามแมว >5 mg/kg (ตาบอด)"
"Marbofloxacin","ยาปฏิชีวนะ","2.75-5.5 mg/kg","การติดเชื้อผิวหนัง, ทางเดินปัสสาวะ (ให้วันละครั้ง)","5.5 mg/kg","การติดเชื้อ Pseudomonas (ให้วันละครั้ง)","","","","","","","2 mg/kg","การติดเชื้อทางเดินปัสสาวะ, ผิวหนัง (ให้วันละครั้ง)","","","","","","","","","ห้ามลูกสัตว์, ระวัง CNS"
"Metronidazole","ยาปฏิชีวนะ / ยาต้านโปรโตซัว","15-25 mg/kg","Giardia, Trichomonas (ให้ทุก 12-24 ชม.)","10-15 mg/kg","Anaerobic infections (ให้ทุก 12 ชม.)","7.5-10 mg/kg","Inflammatory bowel disease (ให้ทุก 12 ชม.)","","","","","25 mg/kg","Giardia (ให้วันละครั้ง 5 วัน)","10-25 mg/kg","Anaerobic infections (ให้ทุก 12-24 ชม.)","","","","","","","ระวัง neurotoxicity, ห้ามท้อง"
"Orbifloxacin","ยาปฏิชีวนะ","2.5-7.5 mg/kg","การติดเชื้อผิวหนัง, ทางเดินปัสสาวะ (ให้วันละครั้ง)","","","","","","","","","7.5 mg/kg","การติดเชื้อทางเดินปัสสาวะ, ผิวหนัง (ให้วันละครั้ง)","","","","","","","","","ห้ามลูกสัตว์, ระวัง CNS"
"Pradofloxacin","ยาปฏิชีวนะ","3 mg/kg","การติดเชื้อผิวหนัง, ฟัน (ให้วันละครั้ง)","","","","","","","","","5 mg/kg","การติดเชื้อผิวหนัง, ฟัน, ทางเดินหายใจ (ให้วันละครั้ง)","","","","","","","","","ห้ามลูกสัตว์, ระวังดื้อยา"
"Trimethoprim-Sulfamethoxazole (TMP-SMZ)","ยาปฏิชีวนะ","15-30 mg/kg","การติดเชื้อทางเดินปัสสาวะ, ผิวหนัง (ให้ทุก 12 ชม.)","15 mg/kg","Pneumocystis (ให้ทุก 12 ชม.)","15 mg/kg","Nocardiosis, Toxoplasma (ให้ทุก 12 ชม.)","","","","","15 mg/kg","การติดเชื้อทั่วไป (ให้ทุก 12 ชม.)","15-30 mg/kg","Toxoplasma gondii (ให้ทุก 12 ชม.)","","","","","","","ระวัง KCS ในสุนัข, แพ้ sulfa"
"Tylosin","ยาปฏิชีวนะ","7-15 mg/kg","Chronic diarrhea, IBD (ให้ทุก 12-24 ชม.)","10-20 mg/kg","Mycoplasma, Campylobacter (ให้ทุก 12-24 ชม.)","","","","","","","5-10 mg/kg","การติดเชื้อทางเดินหายใจ Mycoplasma (ให้ทุก 12 ชม.)","","","","","","","","","ระวังโรคตับ, GI อักเสบ"
"Rifampin","ยาปฏิชีวนะ","5-10 mg/kg","การติดเชื้อ Staphylococcus MRSP ร่วมกับยาอื่น (ให้วันละครั้ง)","10-20 mg/kg","Brucellosis (ให้วันละครั้ง, ร่วมกับ doxycycline)","","","","","","","10-20 mg/kg","การติดเชื้อ Nocardia, mycobacteria (ให้วันละครั้ง)","","","","","","","","","ห้ามใช้เดี่ยว, ระวังตับพิษ"
"Tetracycline","ยาปฏิชีวนะ","10-22 mg/kg","การติดเชื้อ Rickettsia, Ehrlichia (ให้ทุก 8 ชม.)","","","","","","","","","10-22 mg/kg","การติดเชื้อ Chlamydophila (ให้ทุก 8 ชม.)","","","","","","","","","ห้ามท้อง/ลูกสัตว์, ห้ามกับนม"
"Aspirin","ยาแก้ปวด/ลดไข้","10-25 mg/kg","ปวด ไข้ ทั่วไป (ให้ทุก 12 ชม.)","0.5-5 mg/kg","ป้องกันเลือดแข็งตัว antiplatelet (ให้ทุก 24-72 ชม.)","","","","","","","10-20 mg/kg","ลดไข้ ปวด (ให้ทุก 48-72 ชม. เท่านั้น!)","","","","","","","","","ระวังแมวมาก, ระวัง GI ulcer"
"Deracoxib","ยาแก้ปวด/ลดการอักเสบ","1-2 mg/kg","ข้ออักเสบเรื้อรัง (ให้วันละครั้ง)","3-4 mg/kg","ปวดหลังผ่าตัดกระดูกข้อ (ให้วันละครั้ง 7 วัน)","","","","","","","","","","","","","","","","","ห้ามโรคไต/ตับ/หัวใจ"
"Firocoxib (Previcox)","ยาแก้ปวด/ลดการอักเสบ","5 mg/kg","ข้ออักเสบ osteoarthritis (ให้วันละครั้ง)","5 mg/kg","ปวดหลังผ่าตัดกระดูก (ให้วันละครั้ง)","","","","","","","","","","","","","","","","","ใช้ในสุนัขเท่านั้น, ระวังไต/ตับ"
"Grapiprant (Galliprant)","ยาแก้ปวด/ลดการอักเสบ","2 mg/kg","Osteoarthritis ปวดข้อเรื้อรัง (ให้วันละครั้ง)","","","","","","","","","","","","","","","","","","","ใช้ในสุนัขเท่านั้น, ระวัง GI"
"Robenacoxib (Onsior)","ยาแก้ปวด/ลดการอักเสบ","1-2 mg/kg","ปวดหลังผ่าตัด, ข้ออักเสบ (ให้วันละครั้ง)","","","","","","","","","1-2.4 mg/kg","ปวดหลังผ่าตัด (ให้วันละครั้ง ≤6 วัน)","","","","","","","","","ห้ามโรคไต/ตับ/หัวใจ/ท้อง"
"Tramadol","ยาแก้ปวด","2-10 mg/kg","ปวดระดับปานกลาง ข้ออักเสบ (ให้ทุก 8-12 ชม.)","5 mg/kg","ปวดหลังผ่าตัด (ให้ทุก 8-12 ชม.)","","","","","","","1-4 mg/kg","ปวดระดับปานกลาง (ให้ทุก 12 ชม.)","","","","","","","","","ห้าม MAOIs, ระวัง seizure"
"Gabapentin","ยาแก้ปวด/กันชัก","5-10 mg/kg","ปวดเรื้อรัง neuropathic (ให้ทุก 8-12 ชม.)","10-20 mg/kg","ช่วยกันชัก (adjunctive) (ให้ทุก 8 ชม.)","","","","","","","5-10 mg/kg","ปวด neuropathic, ลดความเครียด (ให้ทุก 12 ชม.)","100 mg/cat","ลดความเครียดในการตรวจ (ให้ก่อนตรวจ 1.5-2 ชม.)","","","","","","","ลดขนาดในไตบกพร่อง, ห้ามหยุดทันที"
"Fenbendazole","ยาถ่ายพยาธิ","50 mg/kg","พยาธิตัวกลม Ascarids, Hookworms (ให้วันละครั้ง 3 วัน)","50 mg/kg","Giardia (ให้วันละครั้ง 3-5 วัน)","50 mg/kg","Lungworm (Oslerus osleri) (ให้วันละครั้ง 7-14 วัน)","","","","","50 mg/kg","พยาธิตัวกลม, Giardia (ให้วันละครั้ง 3-5 วัน)","","","","","","","","","ปลอดภัยมาก, ระวังท้องช่วงต้น"
"Milbemycin Oxime","ยาถ่ายพยาธิ","0.5-1 mg/kg","ป้องกัน heartworm, พยาธิตัวกลม (ให้ทุกเดือน)","2 mg/kg","Demodex canis (ให้วันละครั้ง)","","","","","","","2 mg/kg","ป้องกัน heartworm, พยาธิตัวกลม (ให้ทุกเดือน)","","","","","","","","","ระวัง MDR1 mutation"
"Pyrantel Pamoate","ยาถ่ายพยาธิ","5-10 mg/kg","พยาธิตัวกลม Ascarids, Hookworms (ครั้งเดียว ซ้ำ 2-3 สัปดาห์)","","","","","","","","","5-20 mg/kg","พยาธิตัวกลม (ครั้งเดียว ซ้ำ 2-3 สัปดาห์)","","","","","","","","","ปลอดภัยมาก รวมถึงสัตว์ท้อง"
"Selamectin (Revolution)","ยาถ่ายพยาธิ/ป้องกันเห็บหมัด","6-12 mg/kg spot-on","ป้องกัน heartworm, fleas, Sarcoptic mange (ทุกเดือน)","","","","","","","","","6-12 mg/kg spot-on","ป้องกัน heartworm, fleas, ear mites (ทุกเดือน)","","","","","","","","","ห้ามลูกสัตว์ <6 wk, ระวังเปียก"
"Fluconazole","ยาต้านเชื้อรา","5-10 mg/kg","Cryptococcus, Candida (ให้วันละครั้ง)","10-12 mg/kg","Coccidioidomycosis (ให้วันละครั้ง)","","","","","","","10-20 mg/kg","Cryptococcus neoformans (ให้วันละครั้ง)","5-10 mg/kg","Candidiasis, Dermatophytosis (ให้วันละครั้ง)","","","","","","","ระวังตับพิษ, drug interactions"
"Itraconazole","ยาต้านเชื้อรา","5-10 mg/kg","Dermatophytosis, Blastomycosis (ให้วันละครั้ง)","2.5 mg/kg","Aspergillosis (ให้ทุก 12 ชม.)","","","","","","","5-10 mg/kg","Dermatophytosis (Microsporum) (ให้วันละครั้ง)","3-5 mg/kg","Cryptococcus (ให้วันละครั้ง)","","","","","","","ตับพิษ ต้องตรวจตับ, ห้ามท้อง"
"Ketoconazole","ยาต้านเชื้อรา","5-10 mg/kg","Dermatophytosis, Malassezia (ให้วันละครั้ง-ทุก 12 ชม.)","5-10 mg/kg","Hyperadrenocorticism (ยับยั้ง steroid synthesis)","","","","","","","5-10 mg/kg","การติดเชื้อรา (ให้วันละครั้ง)","","","","","","","","","ตับพิษสูง ต้องตรวจตับ, ห้ามท้อง"
"Terbinafine","ยาต้านเชื้อรา","5-10 mg/kg","Dermatophytosis (Microsporum, Trichophyton) (ให้วันละครั้ง)","","","","","","","","","5-10 mg/kg","Dermatophytosis (ให้วันละครั้ง)","","","","","","","","","ระวังตับพิษ, โรคตับ"
"Voriconazole","ยาต้านเชื้อรา","4 mg/kg","Aspergillosis รุนแรง (ให้ทุก 12 ชม.)","","","","","","","","","12.5 mg/kg","Aspergillosis, Cryptococcus ที่ดื้อยา (ให้ทุก 12 ชม.)","","","","","","","","","ตับพิษ, photosensitivity, drug interactions"
"Amlodipine","ยาหัวใจ/ความดันโลหิต","0.05-0.1 mg/kg","ความดันโลหิตสูง (ให้วันละครั้ง)","","","","","","","","","0.625-1.25 mg/cat","ความดันโลหิตสูง (ให้วันละครั้ง)","","","","","","","","","ระวัง hypotension, HOCM"
"Atenolol","ยาหัวใจ","0.25-1 mg/kg","หัวใจเต้นเร็วผิดจังหวะ, ความดันโลหิตสูง (ให้ทุก 12-24 ชม.)","","","","","","","","","6.25-12.5 mg/cat","Hypertrophic cardiomyopathy (ให้ทุก 12-24 ชม.)","","","","","","","","","ห้ามหัวใจวาย, หอบหืด"
"Benazepril","ยาหัวใจ/ไต","0.25-0.5 mg/kg","หัวใจล้มเหลว, โรคไตเรื้อรัง, ความดันโลหิตสูง (ให้วันละครั้ง)","","","","","","","","","0.25-0.5 mg/kg","โรคไตเรื้อรัง, ความดันโลหิตสูง (ให้วันละครั้ง)","","","","","","","","","ระวัง hyperkalemia, hypotension"
"Digoxin","ยาหัวใจ","0.005-0.011 mg/kg PO","หัวใจวาย, Atrial fibrillation (ให้ทุก 12 ชม.)","","","","","","","","","0.007 mg/kg PO","หัวใจวาย, Supraventricular arrhythmia (ทุก 48 ชม.)","","","","","","","","","Therapeutic index แคบ, ระวังไต"
"Enalapril","ยาหัวใจ/ไต","0.25-0.5 mg/kg","หัวใจล้มเหลว, โรคไตเรื้อรัง (ให้ทุก 12-24 ชม.)","","","","","","","","","0.25-0.5 mg/kg","โรคไตเรื้อรัง, ความดันโลหิตสูง (ให้ทุก 24-48 ชม.)","","","","","","","","","ระวัง hyperkalemia, ห้ามท้อง"
"Pimobendan (Vetmedin)","ยาหัวใจ","0.1-0.3 mg/kg","หัวใจล้มเหลว MMVD/DCM (ให้ทุก 12 ชม. ก่อนอาหาร 1 ชม.)","0.25-0.3 mg/kg","Pre-clinical MMVD stage B2 (ให้ทุก 12 ชม.)","","","","","","","1.25 mg/cat PO","HCM หัวใจล้มเหลว (ให้ทุก 12 ชม.)","","","","","","","","","ห้ามใน HOCM, ให้ก่อนอาหาร"
"Spironolactone","ยาขับปัสสาวะ","1-2 mg/kg","หัวใจล้มเหลว ร่วมกับ ACEI/furosemide (ให้ทุก 12-24 ชม.)","","","","","","","","","1-2 mg/kg","หัวใจล้มเหลว, ความดันโลหิตสูง (ให้วันละครั้ง)","","","","","","","","","ระวัง hyperkalemia ร่วม ACEI"
"Telmisartan (Semintra)","ยาหัวใจ/ไต","1 mg/kg","ความดันโลหิตสูง, โรคไตเรื้อรัง (ให้วันละครั้ง)","","","","","","","","","1.5 mg/kg","ความดันโลหิตสูง, โรคไตเรื้อรัง (ให้วันละครั้ง)","","","","","","","","","ห้ามร่วม ACEI, ระวัง hyperkalemia"
"Sotalol","ยาหัวใจ","1-2.5 mg/kg","Ventricular arrhythmia (ให้ทุก 12 ชม.)","","","","","","","","","5-10 mg/cat","Ventricular arrhythmia (ให้ทุก 12 ชม.)","","","","","","","","","ห้าม QT prolongation, หอบหืด"
"Sildenafil","ยาหัวใจ/ปอด","0.5-2 mg/kg","Pulmonary hypertension (ให้ทุก 8-12 ชม.)","","","","","","","","","0.5-1 mg/kg","Pulmonary hypertension (ให้ทุก 8-24 ชม.)","","","","","","","","","ห้ามร่วม nitrates, ระวัง hypotension"
"Famotidine","ยาลดกรด","0.5-1 mg/kg","กระเพาะอาหารอักเสบ, แผลในกระเพาะ (ให้ทุก 12-24 ชม.)","","","","","","","","","0.5-1 mg/kg","กระเพาะอาหารอักเสบ, Esophagitis (ให้ทุก 12-24 ชม.)","","","","","","","","","ระวังไตบกพร่อง, ลดขนาด"
"Metoclopramide","ยาแก้อาเจียน/กระตุ้นการเคลื่อนไหวทางเดินอาหาร","0.2-0.5 mg/kg","อาเจียน, gastroparesis (ให้ทุก 6-8 ชม.)","1-2 mg/kg/day CRI","อาเจียนต่อเนื่อง","","","","","","","0.2-0.5 mg/kg","อาเจียน, gastroparesis (ให้ทุก 6-8 ชม.)","","","","","","","","","ห้ามลำไส้อุดตัน, ระวัง EPS"
"Omeprazole","ยาลดกรด","0.7-1.5 mg/kg","แผลในกระเพาะ, กรดไหลย้อน (ให้วันละครั้ง)","1-2 mg/kg","การป้องกัน GI ulcer จาก NSAIDs (ให้วันละครั้ง)","","","","","","","0.7-1 mg/kg","แผลในกระเพาะ, กรดไหลย้อน (ให้วันละครั้ง)","","","","","","","","","ระวังระยะยาว, ให้ก่อนอาหาร"
"Sucralfate","ยาป้องกันเยื่อบุกระเพาะ","0.5-1 g/dog","แผลในกระเพาะ, กรดไหลย้อน (ให้ทุก 8 ชม.)","","","","","","","","","0.25-0.5 g/cat","แผลในกระเพาะ, Esophagitis (ให้ทุก 8-12 ชม.)","","","","","","","","","ห่างยาอื่น 2 ชม., ระวังไตรุนแรง"
"Cisapride","ยากระตุ้นการเคลื่อนไหวทางเดินอาหาร","0.1-0.5 mg/kg","Gastroparesis, megaesophagus (ทุก 8 ชม.)","","","","","","","","","2.5-5 mg/cat","Constipation, megacolon (ทุก 8-12 ชม.)","","","","","","","","","ห้ามร่วม macrolide, azole, QT"
"Prednisolone","ฮอร์โมน","1-2 mg/kg","ภูมิแพ้, atopy (ให้วันละครั้ง)","2-4 mg/kg","Immune-mediated disease (ให้วันละครั้ง)","0.5-1 mg/kg","IBD, ลดการอักเสบทั่วไป (ทุก 48 ชม.)","","","","","1-2 mg/kg","ภูมิแพ้, IBD (ให้วันละครั้ง)","2-4 mg/kg","Immune-mediated hemolytic anemia (ให้วันละครั้ง)","","","","","","","ห้ามติดเชื้อ systemic, เบาหวาน"
"Fludrocortisone","ฮอร์โมน","0.01-0.02 mg/kg","Hypoadrenocorticism (Addison's disease) (ให้วันละครั้ง)","","","","","","","","","0.05-0.1 mg/cat","Addison's disease (ให้วันละครั้ง)","","","","","","","","","ติดตาม electrolytes, ระวัง HT"
"Levothyroxine (T4)","ฮอร์โมน","0.01-0.02 mg/kg","Hypothyroidism (ให้ทุก 12-24 ชม.)","22 mcg/kg","Hypothyroidism เริ่มต้น (ให้ทุก 12-24 ชม.)","","","","","","","","","","","","","","","","","ระวังโรคหัวใจ, เบาหวาน, Addison"
"Methimazole (Tapazole)","ยาต้านไทรอยด์","","","","","","","","","","","2.5-5 mg/cat","Hyperthyroidism (ให้ทุก 12 ชม.)","2.5 mg/cat","เริ่มต้นรักษา Hyperthyroidism (ให้วันละครั้ง)","","","","","","","ระวัง CBC ระหว่างรักษา, ตับอักเสบ"
"Trilostane (Vetoryl)","ยาต้าน Steroid","1-5 mg/kg","Hyperadrenocorticism (Cushing's) (ให้วันละครั้ง)","2-3 mg/kg","Cushing's เริ่มต้น (ให้วันละครั้ง)","","","","","","","1-5 mg/kg","Hyperadrenocorticism (ให้วันละครั้ง)","","","","","","","","","ระวัง Addisonian crisis"
"Potassium Bromide","ยากันชัก","30-40 mg/kg","Epilepsy refractory ร่วมกับ phenobarbital (ให้วันละครั้ง)","400-600 mg/kg","Loading dose เร่งด่วน (แบ่ง 4 ครั้งใน 1-2 วัน)","","","","","","","","","","","","","","","","","ห้ามในแมว (bronchopneumonia)"
"Zonisamide","ยากันชัก","3-7 mg/kg","Epilepsy (ให้ทุก 12 ชม.)","10 mg/kg","Epilepsy refractory (ให้ทุก 12 ชม.)","","","","","","","5-10 mg/kg","Epilepsy (ให้ทุก 24 ชม.)","","","","","","","","","ระวังแพ้ sulfa, ตับพิษ, นิ่ว"
"Alprazolam","ยาลดวิตกกังวล","0.01-0.1 mg/kg","วิตกกังวล phobia เฉียบพลัน (ให้ตามต้องการ)","","","","","","","","","0.01-0.05 mg/kg","วิตกกังวล, aggression (ให้ตามต้องการ)","","","","","","","","","ระวังตับพิษแมว, ห้ามหยุดทันที"
"Fluoxetine","ยาปรับพฤติกรรม","1-2 mg/kg","OCD, separation anxiety, aggression (ให้วันละครั้ง)","","","","","","","","","0.5-1 mg/kg","Urine spraying, aggression, OCD (ให้วันละครั้ง)","","","","","","","","","ห้ามร่วม MAOIs, ใช้ 4-8 สัปดาห์"
"Clomipramine (Clomicalm)","ยาปรับพฤติกรรม","1-3 mg/kg","Separation anxiety, OCD (ให้วันละครั้ง-ทุก 12 ชม.)","","","","","","","","","0.25-0.5 mg/kg","Urine marking, anxiety (ให้วันละครั้ง)","","","","","","","","","ห้าม MAOIs, ระวัง arrhythmia"
"Selegiline (Anipryl)","ยาปรับพฤติกรรม/ต้านสมองเสื่อม","0.5-1 mg/kg","Cognitive dysfunction syndrome (ให้เช้าวันละครั้ง)","1 mg/kg","PDH (Cushing's) อาจใช้เสริม","","","","","","","","","","","","","","","","","ห้ามร่วม SSRI/TCA/opioid"
"Lomustine (CCNU)","ยาเคมีบำบัด","60-90 mg/m² PO","Brain tumor, lymphoma refractory (ทุก 4-6 สัปดาห์)","","","","","","","","","50-60 mg/m² PO","Lymphoma refractory (ทุก 6 สัปดาห์)","","","","","","","","","myelosuppression รุนแรง, ตับพิษ"
"Chlorambucil","ยาเคมีบำบัด","2-6 mg/m² PO","CLL, lymphoma low-grade (ให้วันละครั้ง)","","","","","","","","","2 mg/cat","IBD, lymphoma low-grade (ทุก 48-72 ชม.)","","","","","","","","","myelosuppression, ระวัง neurotox แมว"
"Hydroxyurea","ยาเคมีบำบัด","40-50 mg/kg PO","Polycythemia vera, CML (ทุก 24-48 ชม.)","","","","","","","","","25 mg/kg PO","Polycythemia vera, มะเร็งเม็ดเลือด (ทุก 24 ชม.)","","","","","","","","","myelosuppression, ห้ามท้อง"
"Toceranib (Palladia)","ยาต้านมะเร็ง","3.25 mg/kg PO","Mast cell tumor, GIST (ทุก 48 ชม.)","","","","","","","","","","","","","","","","","","","ระวัง GI toxicity, ห้ามไตบกพร่อง"
"Cyclosporine (Atopica)","ยากดภูมิคุ้มกัน","5 mg/kg","Atopic dermatitis (ให้วันละครั้ง จนดีขึ้น แล้วลดเป็น ทุก 48-72 ชม.)","5 mg/kg","Keratoconjunctivitis sicca, IMHA (ให้วันละครั้ง)","","","","","","","7.5 mg/kg","Atopic dermatitis, Eosinophilic granuloma (ทุก 24-48 ชม.)","","","","","","","","","ระวัง nephrotoxicity, hypertension"
"Azathioprine","ยากดภูมิคุ้มกัน","2-2.5 mg/kg","IMHA, IMT, IBD, lupus (ให้วันละครั้ง จากนั้น ทุก 48 ชม.)","","","","","","","","","","","","","","","","","","","ห้ามในแมว (myelosuppression ร้ายแรง)"
"Mycophenolate Mofetil","ยากดภูมิคุ้มกัน","10-20 mg/kg","IMHA, IMN, IBD refractory (ให้ทุก 12 ชม.)","","","","","","","","","10 mg/kg","Immune-mediated disease (ให้ทุก 12 ชม.)","","","","","","","","","ระวัง GI toxicity, ห้ามท้อง"
"Hydrochlorothiazide","ยาขับปัสสาวะ","2-4 mg/kg","ความดันโลหิตสูง, Calcium oxalate urolithiasis (ให้ทุก 12 ชม.)","","","","","","","","","1-2 mg/kg","ความดันโลหิตสูง (ให้ทุก 12-24 ชม.)","","","","","","","","","ระวัง hypokalemia, hypercalcemia"
"Torsemide","ยาขับปัสสาวะ","0.1-0.2 mg/kg","หัวใจล้มเหลว refractory (ให้วันละครั้ง)","","","","","","","","","0.1-0.2 mg/kg","หัวใจล้มเหลว (ให้วันละครั้ง)","","","","","","","","","ระวัง hypokalemia, ototoxicity"
"Allopurinol","ยาลด Uric Acid","10-20 mg/kg","Urate urolithiasis, Leishmaniasis (ให้ทุก 8-12 ชม.)","","","","","","","","","","","","","","","","","","","ระวัง xanthine นิ่ว, ต้องลด purine"
"Theophylline","ยาขยายหลอดลม","5-20 mg/kg","หอบหืด, หลอดลมอักเสบเรื้อรัง (ให้ทุก 8-12 ชม.)","","","","","","","","","4 mg/kg","หอบหืดในแมว (ให้วันละครั้ง-ทุก 12 ชม.)","","","","","","","","","Therapeutic index แคบ, ระวัง arrhythmia"
"Dextromethorphan","ยาระงับไอ","0.5-2 mg/kg","ไอไม่มีประสิทธิผล (ให้ทุก 6-8 ชม.)","","","","","","","","","","","","","","","","","","","ไม่มีหลักฐานในแมว, ระวัง MAOIs"
"Megestrol Acetate","ฮอร์โมน","2.2 mg/kg","ยับยั้ง estrus (ให้ทุก 24 ชม. 8 วัน ช่วง anestrus)","","","","","","","","","2.5-5 mg/cat","ยับยั้ง estrus, ปัญหาพฤติกรรม (ทุก 24 ชม.)","","","","","","","","","ห้ามท้อง, ระวัง DM, pyometra"
